sample,assay,total_seconds,success_count,frame_count,prop_success
20190615_1117_icab_kaga_L_q4,novel_object,600,17899,18000,0.9943888888888889
20190615_1549_icab_hni_L_q1,open_field,600,17899,18000,0.9943888888888889
20190612_1604_icab_hni_R_q2,novel_object,600,17903,18000,0.9946111111111111
20190615_1358_icab_icab_L_q1,open_field,600,17903,18000,0.9946111111111111
20190613_1648_icab_ho5_R_q1,novel_object,600,17905,18000,0.9947222222222222
20190612_1236_icab_kaga_R_q4,novel_object,600,17907,18000,0.9948333333333333
20190614_1335_icab_ho5_L_q3,open_field,600,17907,18000,0.9948333333333333
20190614_1524_icab_icab_R_q3,open_field,600,17907,18000,0.9948333333333333
20190613_1024_icab_hni_R_q4,open_field,600,17909,18000,0.9949444444444444
20190616_1351_icab_ho5_L_q4,novel_object,600,17910,18000,0.995
20190613_1024_icab_hni_R_q4,novel_object,600,17913,18000,0.9951666666666666
20190615_1423_icab_icab_L_q1,novel_object,600,17915,18000,0.9952777777777778
20190614_1108_icab_ho5_L_q1,novel_object,600,17916,18000,0.9953333333333333
20190615_1714_icab_icab_L_q2,novel_object,600,17918,18000,0.9954444444444445
20190616_1351_icab_ho5_L_q2,open_field,600,17918,18000,0.9954444444444445
20190613_1126_icab_hdr_R_q3,open_field,600,17920,18000,0.9955555555555555
20190612_1534_icab_hdr_R_q1,open_field,600,17921,18000,0.9956111111111111
20190615_1145_icab_hni_R_q3,novel_object,600,17922,18000,0.9956666666666667
20190616_0948_icab_hdr_L_q2,novel_object,600,17922,18000,0.9956666666666667
20190616_1556_icab_hdr_L_q2,novel_object,600,17923,18000,0.9957222222222222
20190616_0923_icab_icab_L_q3,open_field,600,17924,18000,0.9957777777777778
20190611_1454_icab_hni_R_q4,open_field,600,17925,18000,0.9958333333333333
20190612_1236_icab_kaga_R_q2,open_field,600,17925,18000,0.9958333333333333
20190612_1707_icab_hni_R_q1,novel_object,600,17925,18000,0.9958333333333333
20190614_1139_icab_hni_R_q2,open_field,600,17926,18000,0.9958888888888889
20190613_1307_icab_hdr_R_q2,novel_object,600,17927,18000,0.9959444444444444
20190612_1425_icab_kaga_R_q2,open_field,589.6,17617,17688,0.9959859791949344
20190615_1649_icab_icab_L_q1,open_field,600,17929,18000,0.9960555555555556
20190616_1441_icab_hni_L_q1,open_field,600,17929,18000,0.9960555555555556
20190613_1054_icab_hdr_R_q2,novel_object,600,17931,18000,0.9961666666666666
20190613_1024_icab_hni_R_q1,novel_object,600,17932,18000,0.9962222222222222
20190614_1553_icab_hni_L_q1,open_field,600,17933,18000,0.9962777777777778
20190613_1126_icab_hdr_R_q3,novel_object,600,17935,18000,0.9963888888888889
20190612_1355_icab_ho5_R_q3,novel_object,600,17936,18000,0.9964444444444445
20190614_1644_icab_hni_L_q3,novel_object,600,17937,18000,0.9965
20190615_1022_icab_ho5_L_q4,open_field,600,17937,18000,0.9965
20190616_1556_icab_hdr_L_q4,novel_object,600,17937,18000,0.9965
20190612_1425_icab_kaga_R_q4,open_field,589.6,17628,17688,0.9966078697421981
20190611_1628_icab_hdr_R_q1,open_field,600,17940,18000,0.9966666666666667
20190612_1236_icab_kaga_R_q1,open_field,600,17940,18000,0.9966666666666667
20190614_1307_icab_hdr_R_q2,open_field,600,17940,18000,0.9966666666666667
20190614_1619_icab_kaga_L_q2,open_field,600,17942,18000,0.9967777777777778
20190616_1651_icab_icab_L_q3,open_field,600,17942,18000,0.9967777777777778
20190614_1619_icab_kaga_L_q3,open_field,600,17943,18000,0.9968333333333333
20190615_1117_icab_kaga_L_q1,novel_object,600,17944,18000,0.9968888888888889
20190616_1045_icab_icab_L_q3,novel_object,600,17945,18000,0.9969444444444444
20190615_1117_icab_kaga_L_q1,open_field,598.4,17898,17952,0.9969919786096256
20190615_1616_icab_hni_L_q2,novel_object,600,17946,18000,0.997
20190611_1410_icab_kaga_R_q1,open_field,600,17947,18000,0.9970555555555556
20190614_1644_icab_hni_L_q4,novel_object,600,17947,18000,0.9970555555555556
