assay,sample,quadrant,wid,hei,n_frames
open_field,20190613_1511_icab_hdr_L,q2,348,352,18000
open_field,20190613_1511_icab_hdr_L,q3,348,352,18000
open_field,20190613_1511_icab_hdr_L,q4,358,352,18000
open_field,20190613_1546_icab_hni_R,q1,342,358,18000
open_field,20190613_1546_icab_hni_R,q2,364,358,18000
open_field,20190613_1546_icab_hni_R,q3,364,346,18000
open_field,20190613_1546_icab_hni_R,q4,342,346,18000
open_field,20190613_1617_icab_ho5_L,q1,354,356,18000
open_field,20190613_1617_icab_ho5_L,q2,352,356,18000
open_field,20190613_1617_icab_ho5_L,q3,352,348,18000
open_field,20190613_1617_icab_ho5_L,q4,354,348,18000
open_field,20190613_1648_icab_ho5_R,q1,340,352,18000
open_field,20190613_1648_icab_ho5_R,q2,366,352,18000
open_field,20190613_1648_icab_ho5_R,q3,366,352,18000
open_field,20190613_1648_icab_ho5_R,q4,340,352,18000
open_field,20190614_1108_icab_ho5_L,q1,354,358,18000
open_field,20190614_1108_icab_ho5_L,q2,352,358,18000
open_field,20190614_1108_icab_ho5_L,q3,352,346,18000
open_field,20190614_1108_icab_ho5_L,q4,354,346,18000
open_field,20190614_1139_icab_hni_R,q1,342,356,18000
open_field,20190614_1139_icab_hni_R,q2,364,356,18000
open_field,20190614_1139_icab_hni_R,q3,364,348,18000
open_field,20190614_1139_icab_hni_R,q4,342,348,18000
open_field,20190614_1208_icab_icab_L,q1,352,354,18000
open_field,20190614_1208_icab_icab_L,q2,354,354,18000
open_field,20190614_1208_icab_icab_L,q3,354,350,18000
open_field,20190614_1208_icab_icab_L,q4,352,350,18000
open_field,20190614_1237_icab_hdr_L,q1,346,358,18000
open_field,20190614_1237_icab_hdr_L,q2,360,358,18000
open_field,20190614_1237_icab_hdr_L,q3,360,346,18000
open_field,20190614_1237_icab_hdr_L,q4,346,346,18000
open_field,20190614_1307_icab_hdr_R,q1,348,358,18000
open_field,20190614_1307_icab_hdr_R,q2,358,358,18000
open_field,20190614_1307_icab_hdr_R,q3,358,346,18000
open_field,20190614_1307_icab_hdr_R,q4,348,346,18000
open_field,20190614_1335_icab_ho5_L,q1,352,358,18000
open_field,20190614_1335_icab_ho5_L,q2,354,358,18000
open_field,20190614_1335_icab_ho5_L,q3,354,346,18000
open_field,20190614_1335_icab_ho5_L,q4,352,346,18000
open_field,20190614_1404_icab_ho5_L,q1,352,358,18000
open_field,20190614_1404_icab_ho5_L,q2,354,358,18000
open_field,20190614_1404_icab_ho5_L,q3,354,346,18000
open_field,20190614_1404_icab_ho5_L,q4,352,346,18000
open_field,20190614_1430_icab_hdr_L,q1,350,356,18000
open_field,20190614_1430_icab_hdr_L,q2,356,356,18000
open_field,20190614_1430_icab_hdr_L,q3,356,348,18000
open_field,20190614_1430_icab_hdr_L,q4,350,348,18000
open_field,20190614_1456_icab_ho5_R,q1,342,350,18000
open_field,20190614_1456_icab_ho5_R,q2,364,350,18000
open_field,20190614_1456_icab_ho5_R,q3,364,354,18000
